AvantiSensor1_ORIENT_W1,AvantiSensor1_ORIENT_X1,AvantiSensor1_ORIENT_Y1,AvantiSensor1_ORIENT_Z1,AvantiSensor2_ORIENT_W2,AvantiSensor2_ORIENT_X2,AvantiSensor2_ORIENT_Y2,AvantiSensor2_ORIENT_Z2
0.801415741,-0.075944498,-0.555794299,-0.207504079,0.57104212,0.017964952,-0.820652783,-0.010825287
0.801281989,-0.075974524,-0.555978239,-0.207517013,0.570942044,0.018039603,-0.820719302,-0.010934629
0.801168561,-0.075954996,-0.556115508,-0.207593933,0.570963383,0.018062342,-0.820701599,-0.011116421
0.801121056,-0.075850256,-0.556199193,-0.207591966,0.570970953,0.018015262,-0.820693851,-0.01136703
0.801118851,-0.075747989,-0.556202829,-0.207627818,0.571258664,0.017785652,-0.82049495,-0.011631784
0.801178813,-0.075691767,-0.556074321,-0.207761332,0.571464241,0.01768975,-0.820353687,-0.011639223
0.801223755,-0.075739607,-0.555954933,-0.207889304,0.571425796,0.017885888,-0.820377946,-0.011520308
0.80128175,-0.075745448,-0.555870473,-0.2078899,0.571507752,0.017959392,-0.820319951,-0.011479349
0.801365018,-0.0756732,-0.555787206,-0.207818225,0.571696877,0.017731627,-0.820191264,-0.011600885
0.80139035,-0.075713471,-0.555725694,-0.207869902,0.571724236,0.017646153,-0.820174754,-0.011552485
0.801350117,-0.075857989,-0.555712879,-0.208006606,0.571389019,0.017882625,-0.820403278,-0.011543974
0.801289201,-0.075941026,-0.555784225,-0.208020836,0.571614981,0.017828459,-0.820244312,-0.011737998
0.801272094,-0.075861797,-0.55580765,-0.208052963,0.57198751,0.017498486,-0.819988072,-0.011985224
0.801187992,-0.075924113,-0.555865347,-0.208199933,0.571976602,0.017630916,-0.819992185,-0.012038159
0.801057518,-0.075944863,-0.556041896,-0.208222926,0.571811557,0.017884474,-0.820102096,-0.012018406
0.800969839,-0.07589674,-0.556176603,-0.208217978,0.571453691,0.01771738,-0.82035476,-0.012037987
0.800833762,-0.075864248,-0.556374669,-0.208223879,0.570942521,0.017607048,-0.820709646,-0.012267569
0.800581515,-0.075986356,-0.556688726,-0.208309963,0.570760667,0.01767103,-0.820831895,-0.012453055
0.800345182,-0.076076724,-0.55697453,-0.208421111,0.570696294,0.017824339,-0.820870697,-0.01262825
0.800207913,-0.075973295,-0.557182193,-0.208430916,0.570769489,0.017827237,-0.820816994,-0.012800049
0.80013299,-0.075831749,-0.557324231,-0.208390251,0.571009755,0.01768674,-0.820651889,-0.012862035
0.800077558,-0.075836673,-0.557382703,-0.208444864,0.570972204,0.017604219,-0.820682764,-0.012677511
0.800040126,-0.075948924,-0.557407022,-0.208483249,0.570932746,0.017827952,-0.820710659,-0.012328438
0.800060511,-0.076015644,-0.557388783,-0.208428919,0.57106632,0.017857546,-0.820619166,-0.012181486
0.800094843,-0.076073729,-0.557370901,-0.208323911,0.571356356,0.017639682,-0.82042253,-0.012155632
0.800117552,-0.076158874,-0.557328641,-0.208318397,0.571464837,0.017586349,-0.820349157,-0.012089607
0.800118506,-0.076271653,-0.55730772,-0.208329365,0.571309566,0.017724374,-0.820455611,-0.012001759
0.80015713,-0.076292016,-0.55726558,-0.208286226,0.571811795,0.017778344,-0.820103705,-0.012049916
0.800266623,-0.076184057,-0.557111382,-0.208317429,0.572605371,0.017720062,-0.819549322,-0.012161018
0.800461948,-0.076121897,-0.556814492,-0.208383664,0.573354244,0.017931264,-0.819021463,-0.012139998
0.800655663,-0.075973883,-0.556555271,-0.208385915,0.573875368,0.018260442,-0.818650246,-0.012060703
0.80089587,-0.075738341,-0.556265056,-0.208323762,0.574026406,0.018341836,-0.818544686,-0.011915173
0.801091909,-0.075611487,-0.556009948,-0.208296791,0.573786259,0.018430354,-0.818710566,-0.011948261
0.801187694,-0.07554476,-0.555888295,-0.208277583,0.573770463,0.018446809,-0.818720639,-0.011993351
0.801256359,-0.075498603,-0.555776894,-0.208327293,0.573875785,0.018423826,-0.818646491,-0.012049206
0.801356077,-0.075408503,-0.555658519,-0.208292171,0.574061871,0.018525159,-0.818514109,-0.01201989
0.801475585,-0.075307675,-0.555508733,-0.208268464,0.574376345,0.018468,-0.818295836,-0.01194723
0.801590025,-0.075285681,-0.555334151,-0.208301902,0.574412763,0.018400043,-0.818274081,-0.011784483
0.80168283,-0.07533244,-0.555176377,-0.208347961,0.574258327,0.018556962,-0.81838274,-0.011517836
0.801761568,-0.075369723,-0.55508703,-0.208269477,0.574367166,0.018660286,-0.818304837,-0.011457591
0.801863372,-0.075371206,-0.554947793,-0.208248034,0.574606597,0.018460002,-0.81814009,-0.011542837
0.801921964,-0.075396255,-0.554844558,-0.20828855,0.574637711,0.01844658,-0.818119824,-0.011455233
0.802002132,-0.075425789,-0.554712892,-0.208320484,0.574753582,0.018696735,-0.81803149,-0.011539367
0.802082479,-0.075338617,-0.554595649,-0.208354473,0.575110197,0.01861901,-0.817781031,-0.011656947
0.802202702,-0.075251967,-0.55441606,-0.208401188,0.575168312,0.018499693,-0.817740917,-0.01179335
