Sensor1_q0,Sensor1_q1,Sensor1_q2,Sensor1_q3,Sensor2_q0,Sensor2_q1,Sensor2_q2,Sensor2_q3
0.644255579,-0.371256292,-0.529501081,-0.408328682,0.456705511,-0.554700434,-0.488346815,-0.495222241
0.644658804,-0.370875984,-0.529036462,-0.408639878,0.458269328,-0.553182542,-0.487180561,-0.496622294
0.645117581,-0.370436281,-0.528587878,-0.408895165,0.459793001,-0.551680148,-0.486090779,-0.497951001
0.645555198,-0.370035857,-0.528065443,-0.409241766,0.461284935,-0.550197363,-0.485083789,-0.499192268
0.646035612,-0.369546264,-0.527527213,-0.409620106,0.462682843,-0.548760355,-0.484145135,-0.500390112
0.646547854,-0.368980348,-0.526963949,-0.410047144,0.463973403,-0.547344327,-0.483268887,-0.501591682
0.647044599,-0.368496984,-0.526364446,-0.410467923,0.465199381,-0.545987725,-0.482423931,-0.50274682
0.647556424,-0.368005425,-0.525782943,-0.410846651,0.466410577,-0.54469806,-0.481556177,-0.503854394
0.648072898,-0.367478311,-0.525205493,-0.411242783,0.467599422,-0.543465674,-0.480690092,-0.504909098
0.648550212,-0.366944134,-0.524651289,-0.411674291,0.468740106,-0.542320848,-0.479804218,-0.505923629
0.648959458,-0.366456211,-0.524149477,-0.412103295,0.469761968,-0.541311979,-0.478800207,-0.507006288
0.649316311,-0.366010606,-0.523730457,-0.412469447,0.470684022,-0.540410697,-0.4777098,-0.508140266
0.649678349,-0.365566522,-0.523294985,-0.412845731,0.471568465,-0.539578974,-0.476501346,-0.509337425
0.650029182,-0.365133196,-0.522814929,-0.413285106,0.472425014,-0.538777292,-0.475211918,-0.510595381
0.650386572,-0.364697665,-0.522349536,-0.413695604,0.473283112,-0.537963331,-0.473853141,-0.511919677
0.65072161,-0.364290565,-0.521852136,-0.414154917,0.474145174,-0.537105322,-0.472464532,-0.513304591
0.651081979,-0.3638722,-0.521350622,-0.414587706,0.475024849,-0.536190331,-0.471057415,-0.514739037
0.65141952,-0.363493025,-0.520850837,-0.415017962,0.475909293,-0.535230935,-0.469664544,-0.516191483
0.651749253,-0.363132,-0.520338535,-0.415458858,0.476787984,-0.534255743,-0.468325883,-0.517605186
0.652078092,-0.362766922,-0.519875407,-0.415841252,0.477618039,-0.533303559,-0.467070401,-0.518954515
0.652364194,-0.362453878,-0.51947552,-0.416165143,0.478339732,-0.532412767,-0.465925813,-0.520231664
0.652574897,-0.362201542,-0.519180775,-0.416422307,0.479006439,-0.531496346,-0.464908332,-0.521464229
0.652786016,-0.361965418,-0.518875659,-0.416676819,0.479656756,-0.530534744,-0.463979661,-0.522671461
0.653050721,-0.361677408,-0.518556535,-0.416909218,0.480358362,-0.529500902,-0.463117927,-0.52383858
0.653357506,-0.361316323,-0.51819694,-0.417188585,0.481107533,-0.528420508,-0.46231392,-0.524950981
0.653655469,-0.360951692,-0.517862141,-0.41745314,0.481847197,-0.527323961,-0.461603165,-0.525999427
0.653949797,-0.360562027,-0.51746577,-0.417820305,0.482582629,-0.526215672,-0.460974157,-0.526985884
0.654273272,-0.360118091,-0.51700449,-0.418267608,0.483330995,-0.525070429,-0.460381866,-0.527959228
0.654661298,-0.359634787,-0.516541898,-0.418647915,0.484137565,-0.523892224,-0.45977807,-0.528915882
0.655045986,-0.359193355,-0.516063511,-0.41901499,0.485077888,-0.522652507,-0.459145457,-0.529829502
0.655527115,-0.35863933,-0.515630126,-0.419270426,0.486191511,-0.521337569,-0.458457857,-0.530699253
0.655991793,-0.358071357,-0.515200078,-0.41955784,0.487437606,-0.51992929,-0.457712561,-0.53158021
0.656461418,-0.357518673,-0.514778316,-0.419812024,0.488718927,-0.518489659,-0.456932992,-0.532479882
0.6569134,-0.356977969,-0.514350891,-0.420089066,0.48999995,-0.517032921,-0.456146955,-0.533392012
0.657376647,-0.356459618,-0.513930142,-0.420319259,0.491259217,-0.515602767,-0.455332845,-0.534313202
0.657887638,-0.355939865,-0.513465345,-0.420528293,0.492484421,-0.514230788,-0.45448339,-0.535229981
